category	studyA	studyB	run_pairs	nameA	nameB	centerA	centerB	stat_verdict	note
FILE_MIX	PRJEB2264	PRJEB2338	1	Triticum aestivum	Solanum phureja	University of Liverpool;UOL_CGR	University of Dundee;DUNDEE	species-level reads support neither	potato SFF GBSKQZK02 sits inside the wheat run; STAT of wheat run: S. tuberosum 46% + Aegilops 35%
HOST_ASSOC	PRJNA282814	PRJNA319039	1	Microplitis demolitor	Bracoviriform demolitoris	University of Georgia - UGA (GA)		species-level reads support A only	Microplitis demolitor wasp vs its integrated bracovirus; STAT: wasp 92%, bracovirus 7%
HOST_ASSOC	PRJNA290648	PRJNA312233	1	Aphanizomenon flos-aquae UKL13-PB	Hyphomonadaceae bacterium UKL13-1			species-level reads support A only	Aphanizomenon UKL13-PB vs co-isolate Hyphomonadaceae UKL13-1 (same culture)
MISATTR_ADJ	PRJEB13242	PRJEB14753	6	Mus musculus	Homo sapiens	BAYLOR COLLEGE OF ME	BAYLOR COLLEGE OF ME	species-level reads support A only	'Homo sapiens' record holds Mus musculus 95% (Baylor)
MISATTR_ADJ	PRJNA317585	PRJNA337915	3	Acinetobacter baumannii	Staphylococcus aureus			species-level reads support B only	'Acinetobacter baumannii' record holds S. aureus 95%
MISATTR_ADJ	PRJNA324615	PRJNA84221	2	Pelosinus fermentans DSM 17108	Acetivibrio thermocellus DSM 2360			species-level reads support neither	'Pelosinus fermentans' record holds Acetivibrio (Ruminiclostridium) thermocellus 98%
MISATTR_ADJ	PRJEB23728	PRJEB23778	1	Salmonella enterica	Escherichia coli	IZSLT (Istituto Zooprofilattico Sperimentale del Lazio e la Toscana)	IZSLT (Istituto Zooprofilattico Sperimentale del Lazio e la Toscana)	species-level reads support B only	'Salmonella enterica' record holds E. coli 16% / Salmonella 0% (IZSLT)
MISATTR_ADJ	PRJNA53793	PRJNA53813	1	Staphylococcus epidermidis IS-250	Staphylococcus aureus subsp. aureus IS-91	JCVI	JCVI	species-level reads support B only	'S. epidermidis IS-250' record holds S. aureus 77%
MISATTR_ADJ	PRJNA53795	PRJNA53813	1	Staphylococcus epidermidis IS-250	Staphylococcus aureus subsp. aureus IS-99	JCVI	JCVI	species-level reads support B only	'S. epidermidis IS-250' record holds S. aureus 77%
MISATTR_ADJ	PRJNA10769	PRJNA12555	1	Bos taurus	Zea mays			species-level reads support A only	'Zea mays' record holds Bos taurus 15% / Zea 0%
MISATTR_ADJ	PRJNA308790	PRJNA339509	1	Apis mellifera	Apis cerana		SUB1784624	species-level reads support A only	'Apis cerana' record holds Apis mellifera 66%
MISATTR_ADJ	PRJNA487114	PRJNA487138	1	Abies homolepis	Gallus gallus	SUB4431897	SUB4433080	species-level reads support B only	'Abies homolepis' (fir) record holds Gallus gallus 45%
MISATTR_ADJ	PRJNA53745	PRJNA53779	1	Staphylococcus lugdunensis VCU148	Staphylococcus epidermidis VCU111	JCVI	JCVI	species-level reads support A only	SRR071318 'S. epidermidis VCU111' holds S. lugdunensis 98%; VCU148 record correct
MISATTR_ADJ	PRJNA246441	PRJNA302243	1	Hippocampus kelloggi	Hippocampus erectus	HUAZHONG Agricultural University		species-level reads support B only	'Hippocampus kelloggi' record holds H. erectus 35%
MISATTR_ADJ	PRJNA321068	PRJNA339810	1	Primates	Anopheles sinensis		SUB1883772	species-level reads support neither	'Primates' record holds Anopheles 68%
MISATTR_ADJ	PRJNA268581	PRJNA318866	1	Mesorhizobium hungaricum	Enteractinococcus helveticum	UASWS		species-level reads support neither	'Enteractinococcus helveticum' record holds Mesorhizobium 70%
MISATTR_ADJ	PRJNA324120	PRJNA328794	1	Salmonella enterica	Escherichia coli			species-level reads support B only	'Salmonella enterica' record holds E. coli 12% / Salmonella 0%
MISATTR_ADJ	PRJNA324120	PRJNA330858	1	Salmonella enterica	Escherichia coli			species-level reads support B only	'Salmonella enterica' record holds E. coli 12% / Salmonella 0%
MISATTR_UNADJ	PRJNA436448	PRJNA470955	23	Homo sapiens	Arabidopsis thaliana	SUB3743374	SUB4023145	untestable (no species-level claim on either side)	Homo sapiens vs Arabidopsis thaliana — SNU/IBS genome-editing projects, 23 small runs; STAT: Chordata
MISATTR_UNADJ	PRJNA436188	PRJNA436448	16	Homo sapiens	Mus musculus	SUB3743374	SUB3743738	species-level reads support neither	Mus vs Homo — same submitter group, 16 runs; STAT partially human
MISATTR_UNADJ	PRJNA436188	PRJNA470898	8	Mus musculus	Brassica napus	SUB3743738	SUB4022655	species-level reads support neither	Mus vs Brassica napus — same group, 8 runs; STAT: Solanaceae
MISATTR_UNADJ	PRJNA436448	PRJNA436750	4	Homo sapiens	Mus musculus	SUB3743374	SUB3905584	species-level reads support neither	Homo vs Mus — same group, 4 runs
MISATTR_UNADJ	PRJNA451048	PRJNA470899	3	Mus musculus	Arabidopsis thaliana	SUB3906125	SUB4039555	untestable (no species-level claim on either side)	Mus vs Arabidopsis — same group, 3 runs
MISATTR_UNADJ	PRJEB21445	PRJEB33681	1	Rattus norvegicus	Mus musculus	INSTITUTO DE AGROQUIMICA Y TECNOLOGIA DE ALIMENTOS	INSTITUTO DE AGROQUIMICA Y TECNOLOGIA DE ALIMENTOS	species-level reads support neither	Rattus vs Mus as host of microbiome amplicon data
MISATTR_UNADJ	PRJEB19502	PRJEB24580	1	Bos taurus	Mus musculus	KYUNG HEE UNIV.	Chungnam National University;KYUNG HEE UNIVERSITY	species-level reads support neither	Bos taurus vs Mus musculus as host of microbiome amplicon data
MISATTR_UNADJ	PRJEB17923	PRJEB19110	1	Picea wilsonii	Picea sitchensis	Umea Plant Science Centre;UPSC	Umea Plant Science Centre;UPSC	species-level reads support neither	Picea wilsonii vs P. sitchensis; file-level, different spot counts
MISATTR_UNADJ	PRJEB7570	PRJEB7572	1	Bacillus sp. DSM 5850	bacterium EM-17	Universidad de La Frontera	Universidad de La Frontera	species-level reads support neither	Bacillus sp. DSM 5850 vs bacterium EM-17
MISATTR_UNADJ	PRJEB15412	PRJEB9777	1	Medicago prostrata	Medicago radiata	UNIVERSITY OF GOTHENBURG	Center of Marine Sciences - University of Algarve;Faro;Portugal;CCMAR	species-level reads support neither	Medicago prostrata vs M. radiata
MISATTR_UNADJ	PRJNA357678	PRJNA399227	1	Mus musculus	Homo sapiens		SUB2985877	species-level reads support neither	Mus vs Homo; STAT: Esox lucius 100% (a third organism — likely reference artefact on tiny run)
MISATTR_UNADJ	PRJNA72625	PRJNA80143	1	Gossypium barbadense	Gossypium arboreum	Alabama A&M University	UOKNOR	species-level reads support neither	as above
