runA	runB	studyA	studyB	nameA	nameB	relation	prior	stat_identical	suppA	suppB	topA	verdict
ERR1199118	ERR1654687	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0333	None	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654687	ERR2707108	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0333	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199119	ERR1654708	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0316	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654708	ERR2707226	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0316	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465879	ERR552490	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0308	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465850	ERR552904	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0327	None	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.0), ('Homo sapiens', 0.0)]	species-level reads support A only
ERR990696	ERR993540	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 1.9), ('Streptococcus thermophilus', 0.2), ('Slackia piriformis', 0.1)]	species-level reads support neither
ERR1654664	ERR2707012	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0355	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium chimaera', 0.0)]	species-level reads support B only
ERR1465846	ERR551368	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0294	None	[('Mycobacterium tuberculosis', 2.9), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1199105	ERR1654666	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0332	None	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654666	ERR2707020	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0332	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
