run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	submission_accession	tax_id	scientific_name	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_md5	fastq_bytes	submitted_md5	submitted_bytes	submitted_format	center_name	broker_name	first_public	last_updated
DRR002237	DRX001663	SAMD00012922	PRJDB2592	DRP000621	DRA000590	34615	Ixodes persulcatus	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	37667	20941861	e8327c747ac1d42332b171586825dec5	11225957				HU-RCZC		2013-05-07	2015-06-19
DRR002238	DRX001664	SAMD00012926	PRJDB2592	DRP000621	DRA000590	34615	Ixodes persulcatus	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	35544	17030492	55449de58db7a430acec203a59851749	2866127				HU-RCZC		2013-05-07	2015-06-19
DRR002248	DRX001668	SAMD00012921	PRJDB2592	DRP000621	DRA000590	44386	Haemaphysalis longicornis	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	3206	2286142	0ccd0012f17dcd62941ef189089f052f	219758				HU-RCZC		2013-05-07	2015-06-19
DRR002428	DRX001820	SAMD00016597	PRJDB2822	DRP000641	DRA000610	1006554	Acetobacter pasteurianus NBRC 101655	OTHER	GENOMIC	RANDOM	ILLUMINA	Illumina Genome Analyzer II	6153702	221533272	1a989269ef339c0de2edba052aa9e1dd	234483992				YAMAGU_U		2013-05-29	2020-03-31
ERR034803	ERX013141	SAMEA1888704;SAMEA1888706;SAMEA1888705;SAMEA1888708;SAMEA1888709;SAMEA1888707	PRJEB2548	ERP000690	ERA031642	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3989917	275304273	fd2f9396b5a25de21fe07e9d66e9d27e	164059908	6f14ac4bb96038c165ce93fb78bad95f	171105942	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-14	2018-11-16
ERR034804	ERX013141	SAMEA1888704;SAMEA1888706;SAMEA1888705;SAMEA1888708;SAMEA1888709;SAMEA1888707	PRJEB2548	ERP000690	ERA031642	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3252813	224444097	dea25fed51bf495cc3fc8079bb54c76f	132009479	0070451096d137b371615845ee9bc644	137666031	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-14	2018-11-16
ERR034810	ERX013142	SAMEA1905283;SAMEA1905282;SAMEA1905286;SAMEA1905287;SAMEA1905284;SAMEA1905285	PRJEB2549	ERP000691	ERA032015	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3472117	239576073	ee3034a5bb57a511258d014a399be1c1	134684023	cf28ffe041c162e20862a128fe63d380	140724004	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-21	2018-11-16
ERR034812	ERX013142	SAMEA1905283;SAMEA1905282;SAMEA1905286;SAMEA1905287;SAMEA1905284;SAMEA1905285	PRJEB2549	ERP000691	ERA032015	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3426090	236400210	28fddfe47e0321ea8a428d7afc751a32	134627959	ab17267f6bf419cdd25be516ff381829	140656054	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-21	2018-11-16
ERR145113	ERX121081	SAMEA1888963	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	14077687	253398366	6afea84cb61692866fec5e236f92d92e	307096481	5b542506a62d3782166584c3dbadc7c4	305075546	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145115	ERX121044	SAMEA1888963	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	15007133	270128394	54557cfb1051a9c91dc42611c6cd5fb9	322202503	399e7f158e84fa4e04b12bf21a82fced	319932088	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145122	ERX121043	SAMEA1888969	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	9638896	347000256	580655e6486828f9c807aad981efac19	244785797	a674757d5ba8296c1c3a2f10b3662d9e	214429105	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145132	ERX121088	SAMEA1888968	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	12772431	280993482	cf62c65013f1e4e1334ed123561054af	231983438	828bae8c499c7bde0beb34d62b36e9c6	190554552	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
